Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Козак,Петро,Олександрович,Чоловіча,1993-04-05,Фольклорист,селище Мар'їнка,"вулиця Сортувальна 2-га, буд. 173 кв. 98, Рівне, 94915",+380 83 919 87 07,datsenkoiefrem@example.org
Романець,Кирило,Володимирович,Чоловіча,1991-07-25,Слідчий,селище Лутугине,"узвіз Олександрівський, буд. 12, Красногорівка, 05313",+380 (73) 989-25-15,kharchenkovolodymyr@example.net
Карпа,Степан,Павлович,Чоловіча,1980-03-22,Конструктор,селище Волочиськ,"вулиця Лінія 25-та, буд. 2 кв. 44, Суходільськ, 10711",059 281-66-53,kamillasahal@example.com
Бабак,Охрім,Анатолійович,Чоловіча,2003-07-25,Стропальник,село Малин,"сквер Флотський 3-й, буд. 881, Тараща, 50341",+380 (10) 911-05-14,valentyntovstolis@example.org
Цісик,Франц,Петрович,Чоловіча,2006-07-17,Дипломат,село Надвірна,"провулок Хлібна гавань, буд. 9, Хуст, 34477",+380 87 548-76-52,edyta20@example.com
Рубан,Макар,Сергійович,Чоловіча,1997-08-26,Кінорежисер,місто Сновськ,"площа Бориса Літвака, буд. 074 кв. 047, Бар, 17377",052 120 19 23,varkhymovych@example.org
Давиденко,Микита,Сергійович,Чоловіча,2000-05-26,Ґрунтознавець,село Мерефа,"проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 26 кв. 731, Буськ, 38333",+380 95 546 21 32,bohdannagzhytska@example.net
Москаль,Давид,Павлович,Чоловіча,1977-03-23,Промисловець,місто Христинівка,"площа Амбулаторний, буд. 0, Вишневе , 34119",+380 83 085-65-16,mykolai38@example.com
Артюх,Василь,Володимирович,Чоловіча,1970-01-31,Астронавт,село Краматорськ,"сквер Ванний, буд. 415, Покровськ, 55693",+380 78 529-94-96,boleslav22@example.org
Андріїшин,Азар,Олександрович,Чоловіча,1971-05-09,Кур'єр,селище Стебник,"проспект Восьмого Березня Лінія 5-та, буд. 75, Моршин, 56111",044 202 53 23,alutsenko@example.com
Андрусенко,Яків,Іванович,Чоловіча,1986-01-18,Ботанік,селище Боково-Хрустальне,"парк Бітумна, буд. 3 кв. 4, Іловайськ, 44026",+380 (82) 124-01-89,fskopenko@example.com
Щириця,Віталій,Олександрович,Чоловіча,2002-05-19,Композитор,селище Сновськ,"проспект Лінія 29-та, буд. 1, Шаргород, 10281",+380 76 695-30-83,onyshchenkovitalii@example.com
Шовкопляс,Дан,Анатолійович,Чоловіча,1955-07-12,Футболіст,місто Березань ,"проспект Мічуріна, буд. 3, Мена , 18996",068 726 22 83,tmatiash@example.org
Титаренко,Мирон,Сергійович,Чоловіча,1981-04-14,Кур'єр,хутір Антрацит ,"парк Єліна, буд. 18 кв. 881, Старобільськ, 87668",046 068 79 53,markovashchuk@example.org
Данилюк,Дмитро,Іванович,Чоловіча,1952-05-06,Шериф,хутір Сулимівка (Слов'янськ),"сквер Комітетська, буд. 5 кв. 940, Берегове, 63093",187 08 92,leonnosachenko@example.net
Лаба,Макар,Анатолійович,Чоловіча,1959-11-22,Дизайнер,село Баранівка,"провулок Гранатна, буд. 90, Помічна, 32722",086 951 89 00,bashpolchenkookhrim@example.net
Ватаманюк,Амвросій,Петрович,Чоловіча,1945-04-08,Драматург,хутір Добропілля,"шосе Чапаєва, буд. 85 кв. 52, Тараща, 56828",147 08 30,qkhudobiak@example.net
Фаренюк,Гаврило,Андрійович,Чоловіча,1942-02-02,Єгер,хутір Джанкой,"узвіз Восьмого березня, буд. 93 кв. 340, Ровеньки, 83558",+380 92 627 65 16,savenkoviktor@example.net
Гупало,Богдан,Михайлович,Чоловіча,2008-11-19,Нотаріус,місто Попасна,"набережна Володимира Вінниченка, буд. 11, Охтирка, 72683",038 445-36-00,dzyndramyron@example.org
Штепа,Арсен,Юрійович,Чоловіча,1974-10-21,Петрограф,хутір Кілія,"вулиця Локомотивний 3-й, буд. 929, Глобине, 33979",002 767 91 00,iefrem15@example.com
Гайдай,Панас,Павлович,Чоловіча,1952-09-08,Електрик,хутір Богуслав,"узвіз Проїзний 1-й, буд. 001, Костянтинівка, 62492",181-64-22,azar43@example.org
Литвиненко,Григорій,Володимирович,Чоловіча,2001-04-26,Сантехнік,місто Глобине,"площа Лиманний, буд. 860, Яремче, 69072",068 276 58 53,albina00@example.net
Вітер,Ігнат,Анатолійович,Чоловіча,1952-01-28,Кінорежисер,селище Судова Вишня,"площа Новощіпний ряд, буд. 512, Сімферополь, 35670",067 03 55,haidenkooles@example.net
Медведенко,Веніямин,Іванович,Чоловіча,1995-09-14,Співак,селище Долина ,"шосе Балтський 5-й, буд. 97, Косів, 93620",+380 38 323-29-63,kozakada@example.org
Василечко,Зиновій,Сергійович,Чоловіча,1939-09-24,Менеджер,селище Луцьк,"шосе Академіка Глушка, буд. 44 кв. 88, Турка, 90866",333 75 61,mykytiukanastasiia@example.org
Кальченко,Ігнат,Анатолійович,Чоловіча,1959-07-24,Патологоанатом,місто Іллінці,"провулок Геранієва, буд. 96 кв. 725, Звенигородка, 35932",+380 14 608-37-62,kgerus@example.net
Даниленко,Зорян,Михайлович,Чоловіча,1970-04-11,Пілот,село Бахмач,"шосе Онілової, буд. 0, Збараж, 85470",+380 52 116-88-07,urudyk@example.org
Джус,Єфрем,Юрійович,Чоловіча,1975-06-19,Режисер,селище Канів,"проспект Мазараті, буд. 1, Тараща, 56989",681-20-35,matiashpylyp@example.org
Теличенко,Лукʼян,Володимирович,Чоловіча,2001-07-16,Державний службовець,село Оріхів,"провулок Лінія 54-та, буд. 0 кв. 842, Гуляйполе, 34665",022 712-59-07,uhavryshkevych@example.com
Гупало,Прохір,Іванович,Чоловіча,1960-03-15,Фізик,місто Скадовськ,"вулиця Академіка Вільямса, буд. 74, Стебник, 23048",+380 16 101 25 53,karpavira@example.net
Юхименко,Ігнат,Михайлович,Чоловіча,1987-06-21,Паблік рилейшнз,село Нова Каховка,"площа Скрипковий, буд. 29 кв. 10, Сулимівка (Слов'янськ), 28277",+380 62 351-66-46,bohodar87@example.net
Заруба,Опанас,Петрович,Чоловіча,1968-01-15,Дантист,хутір Жидачів,"набережна Хімічна, буд. 2, Біла Церква, 88788",+380 02 174 20 54,panasderkach@example.com
Гаврилишин,Арсен,Олександрович,Чоловіча,1985-11-30,Краєзнавець,місто Світлодарськ,"вулиця Моторний 1-й, буд. 9 кв. 0, Залізне, 50526",+380 (85) 694-21-86,khoma33@example.org
Якимчук,Станіслав,Петрович,Чоловіча,1999-03-12,Музичний редактор,селище Олешки,"площа Каспійський, буд. 52 кв. 384, Хоростків, 52629",+380 86 508-48-82,heorhiifartushniak@example.net
Щириця,Арсен,Олександрович,Чоловіча,2000-01-01,Локсмайстер,хутір Апостолове,"шосе Чехова, буд. 44 кв. 947, Буськ, 98438",342-99-26,tsiupaleon@example.com
Вертипорох,Леонтій,Олександрович,Чоловіча,1961-06-24,Кур'єр,місто Олешки,"сквер 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 68 кв. 781, Білозерське, 90722",+380 44 742-73-46,eokhrimenko@example.com
Комар,Веніямин,Сергійович,Чоловіча,1992-07-06,Ювелір,селище Кролевець,"сквер Лінія 45-та, буд. 1, Монастирище, 97646",014 912-06-42,sofiia97@example.com
Романенко,Охрім,Сергійович,Чоловіча,1952-04-23,Реабілітолог,хутір Нова Каховка,"шосе Кавказька, буд. 090 кв. 030, Сновськ, 47076",031 255 68 23,pushkarvioletta@example.org
Саєнко,Соломон,Павлович,Чоловіча,1968-10-10,Пілот,хутір Олевськ,"сквер Марата 2-й, буд. 73 кв. 506, Коростень, 57507",+380 00 027-41-42,suprunenkomariia@example.net
